City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,RoadWidth,RoadType
17,90000000,6,3,2.0,10,7,2073.0,17,20.0,1
17,80000000,5,3,2.0,9,0,2073.0,26,20.0,1
17,70000000,5,3,2.0,12,0,2071.0,154,20.0,1
17,130000000,6,4,3.0,9,7,2017.0,17,20.0,1
17,100000000,6,3,2.0,10,0,2070.0,59,20.0,1
17,100000000,5,6,3.0,9,0,2074.0,92,13.0,1
20,11000000,3,4,3.0,1,5,2019.0,317,11.0,3
17,50000000,5,4,2.0,9,0,2073.0,618,20.0,1
17,100000000,10,8,3.5,5,1,2017.0,110,20.0,1
17,32500000,6,4,2.5,1,5,2065.0,2600,12.0,2
27,32000000,4,5,3.0,3,6,2075.0,922,15.0,1
17,39900000,5,4,3.0,1,3,2075.0,592,14.0,4
17,15000000,2,2,1.0,1,4,2074.0,766,12.0,3
17,52500000,5,5,3.0,3,5,2075.0,872,20.0,1
17,26500000,6,6,3.0,1,0,2076.0,1100,13.0,4
17,25500000,6,6,3.0,1,0,2076.0,1600,13.0,3
17,33000000,6,4,2.5,1,0,2056.0,2800,20.0,1
17,18500000,4,4,,3,4,,404,13.0,6
17,62000000,7,4,,3,0,,164,0.0,6
17,10500000,0,0,,0,1,,460,10.0,6
3,20500000,7,3,3.0,1,0,2076.0,3200,10.0,3
3,22000000,0,0,,0,0,,720,20.0,1
17,145000000,95,40,5.0,7,0,2073.0,169,20.0,1
17,55000000,5,6,3.0,4,4,2071.0,253,20.0,3
17,24000000,4,4,2.5,1,0,2075.0,510,13.0,1
17,37000000,6,6,3.0,3,5,,178,32.0,6
17,102500000,6,6,3.0,4,0,2070.0,208,13.0,1
20,22000000,7,4,3.5,2,4,2076.0,981,13.0,3
17,58500000,6,6,3.0,2,0,2076.0,318,16.0,1
20,18500000,4,3,2.5,1,0,2076.0,596,13.0,3
20,21000000,4,3,2.5,1,0,2076.0,466,13.0,3
20,17500000,5,3,3.0,1,4,,157,13.0,6
17,130000000,5,6,3.0,3,0,2074.0,566,15.0,1
17,105000000,8,8,4.0,4,0,2076.0,96,15.0,1
17,105000000,5,5,3.0,4,4,2070.0,345,15.0,3
17,27500000,6,5,3.0,1,0,2076.0,971,16.0,1
17,40000000,7,7,4.0,2,0,2074.0,151,15.0,1
17,26500000,6,6,3.0,2,7,2075.0,282,14.0,1
3,50,0,2,3.5,2,7,2076.0,1100,20.0,1
17,22500000,6,6,3.0,1,2,2070.0,66,18.0,1
17,60000000,6,6,3.0,4,5,2070.0,157,15.0,5
17,250000000,6,5,3.0,10,0,,339,15.0,6
17,40000000,9,6,4.0,3,0,2069.0,71,13.0,4
17,30000000,6,5,3.0,1,0,2076.0,136,15.0,1
17,65000000,6,6,3.0,4,0,2070.0,108,14.0,3
17,33000000,5,6,3.0,2,1,2070.0,150,13.0,1
17,30500000,5,5,2.0,1,7,2070.0,112,13.0,1
17,14000000,2,2,1.0,1,6,2076.0,1700,13.0,3
17,28000000,6,6,3.0,1,5,2076.0,100,13.0,1
17,41000000,10,5,4.0,3,5,2075.0,67,26.0,1
17,27000000,6,6,3.0,2,0,2076.0,161,14.0,3
17,22000000,5,5,3.0,1,0,2076.0,139,13.0,5
17,37000000,5,5,3.0,3,5,2071.0,168,15.0,1
17,46000000,4,3,2.5,1,6,2074.0,5600,13.0,2
17,22500000,5,3,3.0,1,0,,274,13.0,6
3,29000000,3,3,2.0,2,1,2070.0,1400,20.0,1
17,31000000,3,4,3.0,1,0,2018.0,209,19.68504,1
17,42500000,0,0,,0,7,,136,29.0,6
17,37500000,5,5,3.0,2,5,,162,0.0,6
17,13000000,2,1,1.0,1,7,2076.0,588,0.0,6
17,105000000,4,3,,4,4,,437,20.0,6
17,80000000,4,5,,4,7,2076.0,726,13.0,3
20,25000000,3,4,2.0,2,0,2076.0,688,13.0,3
3,32500000,4,4,2.0,4,4,2017.0,374,20.0,4
17,21000000,5,3,3.0,1,6,2076.0,173,12.0,1
7,16000000,3,4,2.0,1,7,,599,19.68504,6
17,120000000,0,0,,0,7,,205,20.0,6
7,7700000,4,2,2.0,1,0,2017.0,677,16.0,3
17,20000000,7,3,2.5,2,7,2067.0,5100,10.0,3
3,19000000,7,4,3.5,1,7,2076.0,6200,20.0,3
17,33500000,0,4,3.0,2,5,,188,18.0,1
17,37000000,0,0,,0,2,,86,13.0,1
17,36000000,0,0,,0,0,,134,20.0,6
17,40000000,8,4,3.0,5,4,2068.0,86,12.0,2
20,12500000,2,1,1.0,1,7,2076.0,3200,20.0,3
20,19500000,5,3,2.5,1,0,2076.0,710,20.0,3
20,22000000,5,3,2.5,1,7,2076.0,157,20.0,3
20,21500000,4,3,2.5,1,0,2076.0,161,20.0,3
20,19500000,4,3,2.5,1,2,2076.0,166,20.0,3
20,19000000,4,3,2.5,1,4,2076.0,602,13.0,3
20,18000000,4,3,2.5,1,4,2076.0,792,13.0,3
17,37000000,8,5,3.0,2,4,2077.0,136,12.0,3
17,34000000,6,3,3.0,1,4,2077.0,94,12.0,3
6,800000,2,1,1.0,1,4,2020.0,197,32.0,6
20,21000000,0,3,3.0,1,0,,340,12.0,6
17,26000000,8,4,3.0,1,4,2075.0,220,16.0,3
17,22000000,5,3,,1,6,,380,10.0,6
17,23000000,7,3,,1,2,,135,10.0,6
17,25000000,8,4,5.0,0,1,,325,13.0,2
17,15500000,5,2,,1,3,,960,13.0,6
20,23500000,6,4,3.0,1,1,2020.0,673,10.0,6
17,57500000,0,0,,0,2,,167,12.0,1
17,90000000,5,5,,3,5,,296,20.0,6
17,17000000,4,3,2.5,1,3,2076.0,2100,10.0,1
20,12500000,2,1,1.5,1,4,2076.0,917,13.0,3
3,2100000,0,0,,0,2,,3800,20.0,3
17,45000000,4,4,3.0,4,6,2074.0,8200,22.0,6
20,12500000,2,1,1.5,1,4,2076.0,4100,13.0,3
20,19000000,4,3,2.5,2,3,2076.0,1900,13.0,3
17,32000000,0,0,,0,6,,138,20.0,6
17,15500000,2,1,1.5,2,6,2076.0,5300,20.0,3
17,3000000,0,0,,0,7,,48,16.0,4
17,6500000,0,0,,0,0,,46,40.0,1
17,2350000,0,0,,0,4,,232,13.0,1
17,4100000,0,0,,0,0,,23,13.0,5
0,100000,0,0,,0,7,,323,16.0,6
17,200000,0,0,,0,3,,203,20.0,6
17,3500000,0,0,,0,4,,443,12.0,4
17,30000,2,1,,0,7,,457,11.0,6
17,2800000,0,0,,0,7,,599,20.0,1
17,3500000,0,0,,0,0,,195,30.0,1
17,1500000,0,0,,0,0,,475,58.0,2
5,1250000,0,0,,0,0,2003.0,222,20.0,5
17,1100000,0,0,,0,4,,248,10.0,6
17,8500000,0,0,,0,4,,126,13.0,6
17,2850000,0,0,,0,4,,111,10.0,6
17,1450000,0,0,,0,7,,110,20.0,6
17,2600000,0,0,,0,0,,211,15.0,1
17,3800000,0,0,,0,0,,142,30.0,1
